epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
84,1253.16,0.03197,0.96438,1,0.30699,0.000222875,0.000222875,0.000222875
85,1269.98,0.03447,0.96188,1,0.33463,0.0002105,0.0002105,0.0002105
86,1286.79,0.03869,0.96438,1,0.32786,0.000198125,0.000198125,0.000198125
87,1303.75,0.0344,0.965,1,0.31978,0.00018575,0.00018575,0.00018575
88,1320.56,0.03124,0.96375,1,0.34239,0.000173375,0.000173375,0.000173375
89,1337.32,0.02669,0.96438,1,0.35059,0.000161,0.000161,0.000161
90,1354.22,0.02672,0.9625,1,0.36304,0.000148625,0.000148625,0.000148625
91,1392.24,0.02439,0.96188,1,0.3637,0.00013625,0.00013625,0.00013625
92,1409.08,0.03343,0.96125,1,0.37301,0.000123875,0.000123875,0.000123875
93,1426.01,0.02507,0.96062,1,0.39002,0.0001115,0.0001115,0.0001115
94,1442.87,0.02879,0.96062,1,0.39873,9.9125e-05,9.9125e-05,9.9125e-05
95,1459.73,0.02435,0.96062,1,0.39371,8.675e-05,8.675e-05,8.675e-05
96,1476.68,0.02654,0.96062,1,0.39475,7.4375e-05,7.4375e-05,7.4375e-05
97,1493.91,0.0282,0.96188,1,0.38285,6.2e-05,6.2e-05,6.2e-05
98,1511.24,0.02464,0.96188,1,0.37473,4.9625e-05,4.9625e-05,4.9625e-05
99,1528.18,0.02568,0.96125,1,0.38932,3.725e-05,3.725e-05,3.725e-05
100,1545.15,0.0243,0.96062,1,0.39382,2.4875e-05,2.4875e-05,2.4875e-05
