epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23468,1.31242,0.78992,1.36539,0.86087,0.89709,0.92764,0.54854,1.5042,0.77701,1.56035,0.000742625,0.000742625,0.000742625
43,24182.5,1.30912,0.80995,1.34902,0.84535,0.87568,0.9123,0.53327,1.47897,0.85963,1.55014,0.00073025,0.00073025,0.00073025
44,24870.2,1.3041,0.78748,1.3503,0.89714,0.88009,0.93307,0.54876,1.47192,0.75591,1.55183,0.000717875,0.000717875,0.000717875
45,25527.3,1.27525,0.7667,1.33367,0.89303,0.86921,0.93372,0.54915,1.46002,0.76884,1.53342,0.0007055,0.0007055,0.0007055
46,26177.9,1.25932,0.75566,1.32235,0.87786,0.9076,0.94676,0.55327,1.50055,0.72551,1.56763,0.000693125,0.000693125,0.000693125
47,26854.8,1.26155,0.75171,1.31855,0.8953,0.92168,0.94962,0.55707,1.48308,0.71429,1.53376,0.00068075,0.00068075,0.00068075
48,27531.4,1.25457,0.75866,1.31024,0.92912,0.89139,0.94897,0.56897,1.44937,0.71924,1.51706,0.000668375,0.000668375,0.000668375
49,28208.3,1.2614,0.74022,1.30562,0.89193,0.89763,0.94171,0.55638,1.48022,0.72099,1.55568,0.000656,0.000656,0.000656
50,28876.9,1.24439,0.73959,1.30668,0.89035,0.93202,0.95272,0.5743,1.44896,0.69674,1.52628,0.000643625,0.000643625,0.000643625
51,29581.1,1.23045,0.72447,1.29729,0.91624,0.91465,0.94715,0.55597,1.50401,0.6959,1.55276,0.00063125,0.00063125,0.00063125
52,30064,1.2377,0.72611,1.31238,0.87573,0.90391,0.92627,0.54232,1.49668,0.77174,1.55814,0.000618875,0.000618875,0.000618875
53,30475,1.22787,0.70965,1.30205,0.89738,0.90248,0.95249,0.56615,1.45435,0.71997,1.52833,0.0006065,0.0006065,0.0006065
54,30879.1,1.21124,0.69924,1.28491,0.88957,0.91726,0.93936,0.55889,1.45416,0.7067,1.53331,0.000594125,0.000594125,0.000594125
55,31283.3,1.2004,0.7076,1.29788,0.90405,0.88085,0.94068,0.55825,1.46919,0.73757,1.53572,0.00058175,0.00058175,0.00058175
56,31690,1.22099,0.69957,1.28475,0.93643,0.91069,0.95259,0.55947,1.46967,0.67703,1.52603,0.000569375,0.000569375,0.000569375
57,32098.5,1.19786,0.69704,1.2775,0.91536,0.90803,0.94676,0.5648,1.45975,0.70185,1.51558,0.000557,0.000557,0.000557
58,32512.8,1.19497,0.6758,1.27516,0.92576,0.9062,0.95496,0.56382,1.47023,0.69024,1.54071,0.000544625,0.000544625,0.000544625
59,64948.2,1.18714,0.68887,1.27196,0.90739,0.91882,0.94753,0.56184,1.46321,0.67342,1.53559,0.00053225,0.00053225,0.00053225
60,65736.3,1.17128,0.66187,1.25654,0.93791,0.91678,0.95407,0.5668,1.4654,0.65355,1.55503,0.000519875,0.000519875,0.000519875
61,66628.5,1.18961,0.66651,1.269,0.92472,0.92665,0.95549,0.57104,1.454,0.64497,1.52765,0.0005075,0.0005075,0.0005075
62,67508.8,1.181,0.66786,1.27935,0.93202,0.90924,0.95502,0.56751,1.46118,0.65174,1.52753,0.000495125,0.000495125,0.000495125
63,68226.5,1.15719,0.65838,1.25793,0.94339,0.91279,0.95808,0.56964,1.4574,0.64688,1.53523,0.00048275,0.00048275,0.00048275
64,68799.6,1.15425,0.63353,1.24399,0.92681,0.92666,0.95718,0.56859,1.43699,0.64346,1.50952,0.000470375,0.000470375,0.000470375
